city_tag,city_index,city_name,n_nodes,m_edges_multi,m_edges_simple,density_simple,avg_degree_simple,avg_degree_multi,n_components,giant_component_frac,transitivity,mean_distance,median_distance,p90_distance,diameter,modularity_louvain,n_communities_louvain,modularity_infomap,n_communities_infomap,mean_edge_multiplicity,max_edge_multiplicity
43_dublin,43,dublin,24,9,4,0.0144927536231884,0.333333333333333,0.75,20,0.166666666666667,0,1.66666666666667,1.5,2.9,3,0.40625,21,0.375,20,2.25,4
45_edinburgh,45,edinburgh,27,2,2,0.0056980056980057,0.148148148148148,0.148148148148148,25,0.0740740740740741,,1,1,1,1,0.5,25,0.5,25,1,1
48_glasgow,48,glasgow,181,200,136,0.00834868017188459,1.50276243093923,2.20994475138122,52,0.574585635359116,0.0368098159509202,12.8924570575056,13,22,34,0.838073096885813,60,0.80806660899654,69,1.47058823529412,5
51_hamburg,51,hamburg,6,1,1,0.0666666666666667,0.333333333333333,0.333333333333333,5,0.333333333333333,,1,1,1,1,0,5,0,5,1,1
54_helsinki,54,helsinki,669,1777,588,0.00263150828388067,1.75784753363229,5.31240657698057,178,0.66965620328849,0.0759493670886076,20.3060011185682,16,42,87,0.874172798371049,195,0.813223078346986,239,3.02210884353742,17
56_hong-kong,56,hong-kong,249,63,47,0.00152221790387356,0.377510040160643,0.506024096385542,202,0.0481927710843374,0,3.71212121212121,3,7,9,0.89429606156632,203,0.894296061566319,203,1.34042553191489,4
59_jakarta,59,jakarta,577,390,329,0.00197982861544387,1.14038128249567,1.35181975736568,266,0.462738301559792,0.0262008733624454,17.2940497310692,16,30,48,0.877791225136501,281,0.83048937094077,307,1.1854103343465,4
63_kuala-lumpur,63,kuala-lumpur,239,44,30,0.00105481523153194,0.251046025104603,0.368200836820084,210,0.0460251046025105,0.111111111111111,3.05454545454545,3,5,6,0.815,211,0.819444444444445,211,1.46666666666667,5
64_la-paz,64,la-paz,42,10,10,0.0116144018583043,0.476190476190476,0.476190476190476,32,0.0714285714285714,0,1.33333333333333,1,2,2,0.86,32,0.86,32,1,1
66_lima,66,lima,31,3,3,0.00645161290322581,0.193548387096774,0.193548387096774,28,0.0967741935483871,0,1.33333333333333,1,2,2,0.444444444444444,28,0.444444444444444,28,1,1
67_lisbon,67,lisbon,56,19,19,0.0123376623376623,0.678571428571429,0.678571428571429,37,0.178571428571429,0,3.13333333333333,3,5,7,0.718836565096953,38,0.735457063711911,38,1,1
69_london,69,london,915,732,435,0.00104028410517631,0.950819672131147,1.6,532,0.383606557377049,0.0334728033472803,11.0137891737892,11,17,26,0.838514995375875,548,0.790751750561501,582,1.68275862068966,7
70_lyons,70,lyons,162,60,59,0.00452419292999003,0.728395061728395,0.740740740740741,104,0.308641975308642,0,7.57714285714286,7,13,20,0.768026429187015,111,0.753519103705832,113,1.01694915254237,2
71_madrid,71,madrid,572,508,218,0.00133491727186999,0.762237762237762,1.77622377622378,369,0.321678321678322,0.0272727272727273,11.1555595153243,10,19,32,0.843973571248211,381,0.815219678478242,396,2.3302752293578,15
72_manchester,72,manchester,2,1,1,1,1,1,1,1,,1,1,1,1,0,1,0,1,1,1
73_manila,73,manila,158,27,26,0.00209626703216964,0.329113924050633,0.341772151898734,132,0.0632911392405063,0,3.66666666666667,3,7,9,0.817307692307692,133,0.820266272189349,133,1.03846153846154,2
74_marseilles,74,marseilles,155,116,72,0.00603267700041894,0.929032258064516,1.49677419354839,92,0.374193548387097,0.155172413793103,8.06896551724138,8,14,20,0.777874228395062,100,0.76514274691358,102,1.61111111111111,4
77_melbourne,77,melbourne,294,183,107,0.00248427015857538,0.727891156462585,1.24489795918367,200,0.248299319727891,0.0913705583756345,5.87899543378995,6,9,14,0.780854223076252,206,0.75792645645908,212,1.71028037383178,12
78_mexico-city,78,mexico-city,467,52,52,0.000477892860096865,0.222698072805139,0.222698072805139,415,0.012847965738758,0,1.86666666666667,2,3,3,0.95414201183432,415,0.95414201183432,415,1,1
79_milan,79,milan,254,65,57,0.0017739877376988,0.448818897637795,0.511811023622047,197,0.0551181102362205,0,4.65934065934066,4,9,11,0.857186826715913,199,0.852723915050785,200,1.14035087719298,4
80_montevideo,80,montevideo,4,1,1,0.166666666666667,0.5,0.5,3,0.5,,1,1,1,1,0,3,0,3,1,1
81_moscow,81,moscow,463,395,332,0.0031041672510355,1.4341252699784,1.70626349892009,180,0.602591792656587,0.0161870503597122,10.3623939558031,10,16,28,0.792640441283205,193,0.749845768616635,221,1.18975903614458,3
82_munich,82,munich,388,324,168,0.00223767282026692,0.865979381443299,1.67010309278351,253,0.335051546391753,0.128834355828221,9.90840787119857,9,17,28,0.795564058956916,263,0.770071570294784,272,1.92857142857143,10
84_nagoya,84,nagoya,787,431,175,0.000565810191696493,0.444726810673443,1.09529860228717,617,0.071156289707751,0.046875,8.53311688311688,8,15,23,0.903216326530612,623,0.874889795918367,632,2.46285714285714,8
86_nanjing,86,nanjing,264,119,119,0.00342781426431617,0.901515151515152,0.901515151515152,146,0.25,0,13.4237762237762,13,24,36,0.843019560765483,154,0.81113621919356,163,1,1
87_naples,87,naples,183,52,47,0.00282231429772413,0.513661202185792,0.568306010928962,138,0.0765027322404372,0.0566037735849057,3.57142857142857,4,6,8,0.78700769578995,140,0.77636939791761,142,1.1063829787234,2
88_new-delhi,88,new-delhi,334,115,113,0.00203197209185233,0.676646706586826,0.688622754491018,221,0.236526946107784,0,12.8114248620578,12,23,35,0.839180828569191,228,0.807424230558384,237,1.01769911504425,2
